Designator ,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470Î¼F,CP_Elec_6.3x7.7,42.1,-83.7,270,top
C2,22Î¼F,C_0805_2012Metric,41.2,-89.6,0,top
C3,100nF,C_0805_2012Metric,41.5,-69.3,180,top
C4,100nF,C_0805_2012Metric,45.1,-69.6,0,top
C5,4.7Î¼F,C_0805_2012Metric,40.1,-43.5,90,top
C6,4.7Î¼F,C_0805_2012Metric,61.3,-36.7,0,top
C7,100nF,C_0805_2012Metric,61.3,-34.8,0,top
C8,47pF,C_0805_2012Metric,60.3,-43,0,top
C9,47pF,C_0805_2012Metric,60.3,-41.1,0,top
C11,100nF,C_0805_2012Metric,61.7,-51.2,0,top
C12,100nF,C_0805_2012Metric,57.9,-45.7,270,top
D1,CHARGING,LED_0805_2012Metric,44.7,-47.5,0,top
J7,USB_B_Micro,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,57.25,-30.8,180,top
Q1,BC807,SOT-23,58.3,-70.4,90,top
Q2,MMDT3904,SOT-363_SC-70-6,48.9,-32.7,90,top
Q3,BC817,SOT-23,48,-44.7,270,top
Q4,MMDT3904,SOT-363_SC-70-6,53.5,-42,180,top
R1,10k,R_0805_2012Metric,43.3,-71.6,0,top
R2,4k7,R_0805_2012Metric,51.5,-46.9,180,top
R3,4k7,R_0805_2012Metric,54.9,-47.9,180,top
R4,68k,R_0805_2012Metric,58.1508,-93.4,0,top
R5,68k,R_0805_2012Metric,58.1508,-83.2508,0,top
R6,68k,R_0805_2012Metric,58.1508,-73.2508,0,top
R7,68k,R_0805_2012Metric,62,-68.4,0,top
R8,30k,R_0805_2012Metric,57.4508,-97.3508,270,top
R9,30k,R_0805_2012Metric,57.4508,-87.4508,270,top
R10,30k,R_0805_2012Metric,57.4508,-77.4508,270,top
R11,30k,R_0805_2012Metric,62,-66.4,0,top
R12,68k,R_0805_2012Metric,45.9,-98.5,180,top
R13,68k,R_0805_2012Metric,45.9,-88.4,180,top
R14,68k,R_0805_2012Metric,45.9,-78.4,180,top
R15,3k9,R_0805_2012Metric,54.7,-70.3,0,top
R16,30k,R_0805_2012Metric,46.5,-94.2,90,top
R17,30k,R_0805_2012Metric,46.7,-84.2,270,top
R18,30k,R_0805_2012Metric,46.5,-74.2,90,top
R19,27R,R_0805_2012Metric,56.9,-43,180,top
R20,27R,R_0805_2012Metric,56.9,-40,0,top
R21,10k,R_0805_2012Metric,47.6,-29.9,0,top
R22,10k,R_0805_2012Metric,45.4,-32,180,top
R23,1k,R_0805_2012Metric,48.1,-47.5,180,top
R24,3k9,R_0805_2012Metric,50.8,-44.2,90,top
R25,2k37,R_0805_2012Metric,53.6,-44.9,0,top
R26,1k,R_0805_2012Metric,54.9,-38,180,top
R27,22k1,R_0805_2012Metric,51.8,-34,180,top
R28,47k5,R_0805_2012Metric,54.8,-36,0,top
R29,R,R_0805_2012Metric,42.9,-41.1,180,top
R30,R,R_0805_2012Metric,42.9,-35.4,180,top
RX,RX,LED_0805_2012Metric,42.9,-37.3,180,top
SW1,RESET,SW_SPST_FSMSM,62.05,-58.35,90,top
TX,TX,LED_0805_2012Metric,42.9,-39.2,180,top
U1,ESP32-WROOM-32,ESP32-WROOM-32,49.4,-58.5,90,top
U2,MCP73123,DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,43.5,-44.5,0,top
U3,CP2102N-A01-GQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,48.3,-38.5,180,top
U4,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,60.3,-46.7,180,top
